,STANDARD,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
0,1  Bayern Munich  Bayern Munich,25,62,42,175,429,12,48,33,0,157,63
1,2  Borussia Dortmund  Dortmund,25,61,47,143,325,5,55,32,1,144,53
2,3  Eintracht Frankfurt  Eintracht Fran.,25,50,37,123,289,9,41,44,1,210,65
3,4  1899 Hoffenheim  Hoffenheim,25,49,30,167,410,7,42,46,0,244,50
4,5  Bayer Leverkusen  Leverkusen,25,46,35,149,363,5,41,40,1,187,47
5,6  Mönchengladbach  B. M'gladbach,25,44,34,122,323,5,38,32,0,161,52
6,7  Werder Bremen  Werder Bremen,25,43,25,135,363,5,37,44,0,206,31
7,7  RB Leipzig  RB Leipzig,25,43,25,134,357,2,41,49,1,232,67
8,9  VfL Wolfsburg  VfL Wolfsburg,25,39,23,114,294,5,32,50,0,166,46
9,10  Hertha BSC Berlin  Hertha Berlin,25,38,27,113,282,7,31,48,1,240,47
10,11  SC Freiburg  SC Freiburg,25,36,20,127,307,9,25,32,0,199,39
11,12  FC Augsburg  FC Augsburg,25,34,20,121,323,7,26,46,1,235,61
12,13  Fortuna Düsseldorf  Düsseldorf,25,31,25,123,301,7,23,53,0,219,34
13,14  FC Schalke 04  FC Schalke 04,25,27,15,101,298,2,24,54,4,210,58
14,14  FSV Mainz 05  FSV Mainz 05,25,27,19,101,345,4,21,46,0,193,57
15,16  VfB Stuttgart  VfB Stuttgart,25,25,20,84,293,8,17,52,2,183,43
16,17  Hannover 96  Hannover 96,25,23,15,92,272,6,16,48,1,216,46
17,18  1. FC Nürnberg  Nürnberg,25,19,11,73,238,3,15,49,3,220,39
