,Rank,Player,Club,Nationality,Stat
0,1.0,Sergio Agüero,Manchester City,Argentina,18
1,2.0,Mohamed Salah,Liverpool,Egypt,17
2,3.0,Pierre-Emerick Aubameyang,Arsenal,Gabon,16
3,3.0,Harry Kane,Tottenham Hotspur,England,16
4,5.0,Sadio Mané,Liverpool,Senegal,14
5,6.0,Eden Hazard,Chelsea,Belgium,12
6,6.0,Alexandre Lacazette,Arsenal,France,12
7,6.0,Romelu Lukaku,Manchester United,Belgium,12
8,6.0,Raheem Sterling,Manchester City,England,12
9,10.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,11
10,10.0,Paul Pogba,Manchester United,France,11
11,10.0,Gylfi Sigurdsson,Everton,Iceland,11
12,10.0,Son Heung-Min,Tottenham Hotspur,South Korea,11
13,14.0,Richarlison,Everton,Brazil,10
14,14.0,Aleksandar Mitrovic,Fulham,Serbia,10
15,14.0,Glenn Murray,Brighton and Hove Albion,England,10
16,14.0,Callum Wilson,AFC Bournemouth,England,10
17,18.0,Roberto Firmino,Liverpool,Brazil,9
18,18.0,Ashley Barnes,Burnley,Austria,9
19,18.0,Joshua King,AFC Bournemouth,Norway,9
