,STANDARD,GP,GF,YC,RC
0,1  Ajax  Ajax,14,29,26,1
1,2  Manchester City  Man. City,8,26,13,0
2,3  Paris SG  Paris SG,8,20,18,0
3,4  Barcelona  Barcelona,8,19,11,0
4,4  FC Porto  FC Porto,8,19,17,0
5,6  Red Star Belgrade  Red Star Belgr.,14,17,31,0
6,7  Bayern Munich  Bayern Munich,8,16,12,1
7,8  Real Madrid  Real Madrid,8,15,13,0
8,9  Roma  Roma,8,14,12,0
9,10  Tottenham Hotspur  Tottenham,8,13,16,1
10,10  Benfica  Benfica,10,13,23,0
11,10  Lyon  Lyon,8,13,13,0
12,13  Liverpool  Liverpool,8,12,17,0
13,13  Juventus  Juventus,8,12,13,1
14,13  PSV Eindhoven  PSV Eindhoven,8,12,18,0
15,16  Atlético Madrid  Atlético Madrid,8,11,23,0
16,16  1899 Hoffenheim  Hoffenheim,6,11,13,0
17,18  Manchester United  Manchester Utd,8,10,17,0
18,18  Borussia Dortmund  Dortmund,8,10,11,0
19,20  FC Schalke 04  FC Schalke 04,8,8,16,0
20,20  Shakhtar Donetsk  Shakhtar,6,8,10,0
21,20  CSKA Moscow  CSKA Moscow,6,8,14,0
22,20  AEK Athens  AEK,10,8,23,3
23,24  Napoli  Napoli,6,7,12,0
24,24  Viktoria Plzen  Viktoria Plzen,6,7,10,0
25,24  Young Boys  Young Boys,8,7,18,1
26,27  València  Valencia,6,6,20,0
27,27  Inter Milan  Inter Milan,6,6,15,0
28,27  Club Brugge  Club Brugge,6,6,8,0
29,30  Galatasaray  Galatasaray,6,5,14,0
30,31  Lokomotiv Moscow  Lokomotiv,6,4,16,1
31,32  Monaco  Monaco,6,2,13,0
