,STANDARD,GP,GS,MP,G,A,SOG,S,YC,RC
0,"1  Messi, Lionel  Messi, L. BAR",23,21,1196,25,11,63,122,2,0
1,"2  Suarez, Luis  Suarez, L. BAR",24,22,1279,16,5,39,77,3,0
2,"3  Stuani, Cristhian  Stuani, C. GIR",22,20,1160,13,0,28,48,7,0
3,4  Charles  Charles  EIB,22,11,806,12,1,19,38,3,0
4,"4  Griezmann, Antoine  Griezmann, A. ATL",25,25,1440,12,6,34,79,4,0
5,"6  Benzema, Karim  Benzema, K. RMD",25,24,1351,11,2,25,66,1,0
6,"6  Ben Yedder, Wissam  Ben Yedder, W. SEV",22,18,1236,11,6,21,51,2,0
7,"8  Aspas, Iago  Aspas, I. CEL",18,17,700,10,3,19,38,4,0
8,"8  Mata, Jaime  Mata, J. GET",22,15,1050,10,6,18,36,6,0
9,"8  Molina, Jorge  Molina, J. GET",25,19,1164,10,1,17,32,2,0
10,"8  De Tomas, Raul  De Tomas, R. RV",22,21,1317,10,0,36,75,3,0
11,"8  Iglesias, Borja  Iglesias, B. ESP",25,23,1331,10,2,26,65,4,0
12,"8  Marti, Roger  Marti, R. LEV",21,18,860,10,0,24,53,2,0
13,14  Willian Jose  Willian Jose  RSO,21,19,1308,9,2,15,28,5,0
14,"14  Silva, Andre  Silva, A. SEV",23,23,1186,9,0,25,55,4,0
15,"14  Gomez, Maxi  Gomez, M. CEL",22,20,1100,9,4,17,46,4,0
16,"17  Dembele, Ousmane  Dembele, O. BAR",22,14,672,8,4,15,33,1,0
17,"17  Oyarzabal, Mikel  Oyarzabal, M. RSO",24,23,1225,8,1,16,35,1,0
18,"17  Sarabia, Pablo  Sarabia, P. SEV",24,21,1157,8,9,21,52,8,0
19,"17  Morales, Jose Luis  Morales, J. LEV",24,24,1342,8,3,24,45,5,0
20,"17  En-Nesyri, Youssef  En-Nesyri, Y. LGN",22,16,1261,8,2,22,59,5,0
21,"22  Williams, Inaki  Williams, I. ATH",25,23,1279,7,3,17,53,2,0
22,"22  Bale, Gareth  Bale, G. RMD",20,15,674,7,2,31,61,3,0
23,"24  Muniain, Iker  Muniain, I. ATH",24,18,1110,6,1,9,16,4,0
24,"24  Ramos, Sergio  Ramos, S. RMD",24,24,1305,6,1,12,25,5,0
25,"24  Canales, Sergio  Canales, S. BET",23,21,1137,6,3,21,51,7,0
26,"24  Parejo, Dani  Parejo, D. VAL",23,22,1268,6,3,14,32,4,1
27,"28  Enrich, Sergi  Enrich, S. EIB",24,20,1057,5,2,11,47,3,0
28,"28  Mendez, Brais  Mendez, B. CEL",22,20,1412,5,7,25,53,4,0
29,"28  Rodriguez, Angel  Rodriguez, A. GET",24,16,731,5,2,14,42,3,0
30,"28  Carrillo, Guido  Carrillo, G. LGN",20,16,804,5,0,16,35,2,0
31,"28  Lo Celso, Giovani  Lo Celso, G. BET",20,15,1114,5,2,13,30,3,0
32,33  Portu  Portu  GIR,21,20,1015,4,2,9,22,2,0
33,"33  Garcia, Raul  Garcia, R. ATH",21,16,875,4,3,20,40,5,0
34,"33  Coutinho, Philippe  Coutinho, P. BAR",23,15,811,4,2,22,47,1,0
35,"33  Moreno, Gerard  Moreno, G. VIL",24,22,1089,4,0,25,58,1,0
36,"33  Moreno, Rodrigo  Moreno, R. VAL",22,19,1163,4,4,22,59,3,0
37,"33  Toko Ekambi, Karl  Toko Ekambi, K. VIL",23,13,855,4,0,17,31,2,0
38,"33  Moron, Loren  Moron, L. BET",22,16,822,4,0,19,41,2,0
39,33  Jony  Jony  ALA,23,21,1144,4,7,19,35,1,0
40,"33  Baston, Borja  Baston, B. ALA",17,9,583,4,1,7,17,2,0
41,"33  Bacca, Carlos  Bacca, C. VIL",22,6,414,4,1,11,19,2,0
42,"33  Calleri, Jonathan  Calleri, J. ALA",22,21,1404,4,2,10,47,3,0
43,"33  Avila, Ezequiel  Avila, E. HUE",22,9,558,4,0,18,43,7,0
44,"45  Escalante, Gonzalo  Escalante, G. EIB",20,9,667,3,0,5,11,3,0
45,45  Kike  Kike  EIB,22,11,708,3,0,15,35,0,0
46,"45  Jordan, Joan  Jordan, J. EIB",24,21,1252,3,4,16,39,8,0
47,"45  Gallar, Alex  Gallar, A. HUE",18,9,249,3,1,9,22,2,0
48,"45  Gomez, Ibai  Gomez, I. ALA",24,19,797,3,2,12,47,0,0
49,"45  Sobrino, Ruben  Sobrino, R.",11,6,-,3,1,5,13,2,0
