,STANDARD,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
0,1  Barcelona  Barcelona,38,90,62,254,561,6,82,76,1,327,102
1,2  Real Madrid  Real Madrid,38,63,40,218,586,14,46,79,2,358,111
2,3  Sevilla  Sevilla,38,62,46,181,521,6,54,112,1,410,111
3,4  Levante  Levante,38,59,41,160,423,8,47,105,2,364,85
4,5  Atlético Madrid  Atlético Madrid,38,55,36,166,437,8,45,100,2,371,80
5,6  Celta Vigo  Celta Vigo,38,53,37,161,426,10,42,79,1,357,89
6,7  València  Valencia,38,51,38,169,471,9,41,89,1,333,73
7,8  Villarreal  Villarreal,38,49,32,172,476,9,38,115,0,403,94
8,9  Espanyol  Espanyol,38,48,25,168,470,4,39,90,0,395,84
9,9  Getafe  Getafe,38,48,34,135,393,4,43,107,3,458,102
10,11  Eibar  Eibar,38,46,26,164,512,9,37,82,1,394,91
11,12  Real Sociedad  Real Sociedad,38,45,25,144,418,8,36,80,2,375,88
12,13  Betis  Betis,38,44,30,171,440,2,41,89,1,323,76
13,14  Huesca  Huesca,38,43,28,157,462,8,35,114,2,441,92
14,15  Athletic  Athletic,38,41,27,139,378,4,35,118,3,465,74
15,15  Rayo Vallecano  Rayo Vallecano,38,41,23,157,449,5,35,102,3,449,71
16,17  Alavés  Alavés,38,39,26,131,417,12,27,101,1,412,58
17,18  Girona  Girona,38,37,23,151,388,9,28,81,2,401,60
18,18  Leganés  Leganes,38,37,25,134,404,10,26,104,2,425,75
19,20  Valladolid  Valladolid,38,32,18,134,410,5,26,92,0,398,95
