,Rank,Player,Club,Nationality,Stat
0,1.0,Eden Hazard,Chelsea,Belgium,10
1,2.0,Christian Eriksen,Tottenham Hotspur,Denmark,9
2,2.0,Ryan Fraser,AFC Bournemouth,Scotland,9
3,2.0,Paul Pogba,Manchester United,France,9
4,2.0,Leroy Sané,Manchester City,Germany,9
5,2.0,Raheem Sterling,Manchester City,England,9
6,7.0,Andrew Robertson,Liverpool,Scotland,8
7,8.0,Mohamed Salah,Liverpool,Egypt,7
8,8.0,João Moutinho,Wolverhampton Wanderers,Portugal,7
9,10.0,Sergio Agüero,Manchester City,Argentina,6
10,10.0,Trent Alexander-Arnold,Liverpool,England,6
11,10.0,Abdoulaye Doucouré,Watford,France,6
12,10.0,José Holebas,Watford,Greece,6
13,10.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,6
14,10.0,Anthony Knockaert,Brighton and Hove Albion,France,6
15,10.0,Alexandre Lacazette,Arsenal,France,6
16,10.0,Aaron Ramsey,Arsenal,Wales,6
17,10.0,Marcus Rashford,Manchester United,England,6
18,10.0,Bernardo Silva,Manchester City,Portugal,6
19,10.0,Ashley Westwood,Burnley,England,6
