,Rank,Club,Stat
0,1.0,Manchester City,3414
1,2.0,Chelsea,3243
2,3.0,Liverpool,2804
3,4.0,Tottenham Hotspur,2542
4,5.0,Arsenal,2441
5,6.0,Manchester United,2162
6,7.0,Fulham,2145
7,8.0,Huddersfield Town,2085
8,9.0,Leicester City,2006
9,10.0,Wolverhampton Wanderers,1937
10,11.0,Everton,1891
11,12.0,Watford,1825
12,13.0,Crystal Palace,1818
13,14.0,West Ham United,1807
14,15.0,AFC Bournemouth,1789
15,16.0,Burnley,1692
16,17.0,Newcastle United,1650
17,18.0,Southampton,1611
18,19.0,Brighton and Hove Albion,1563
19,20.0,Cardiff City,1142
