,Rank,Player,Club,Nationality,Stat
0,1.0,James Tarkowski,Burnley,England,40
1,2.0,Ben Mee,Burnley,England,35
2,3.0,Sol Bamba,Cardiff City,Cote D'Ivoire,32
3,4.0,Shane Duffy,Brighton and Hove Albion,Ireland,31
4,5.0,Charlie Taylor,Burnley,England,28
5,6.0,Nathan Aké,AFC Bournemouth,Netherlands,27
6,6.0,Lewis Dunk,Brighton and Hove Albion,England,27
7,8.0,Christopher Schindler,Huddersfield Town,Germany,26
8,9.0,Willy Boly,Wolverhampton Wanderers,France,24
9,10.0,Issa Diop,West Ham United,France,23
10,10.0,Jamaal Lascelles,Newcastle United,England,23
11,10.0,Sean Morrison,Cardiff City,England,23
12,13.0,Craig Cathcart,Watford,Northern Ireland,22
13,14.0,Jan Bednarek,-,Poland,21
14,14.0,Denis Odoi,Fulham,Belgium,21
15,16.0,Chris Smalling,Manchester United,England,19
16,17.0,Steve Cook,AFC Bournemouth,England,18
17,17.0,Bruno Ecuele Manga,Cardiff City,Gabon,18
18,17.0,James McArthur,Crystal Palace,Scotland,18
19,20.0,Toby Alderweireld,Tottenham Hotspur,Belgium,17
