,STANDARD,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
0,1  Bayern Munich  Bayern Munich,34,88,61,261,620,15,71,42,0,241,88
1,2  Borussia Dortmund  Dortmund,34,81,59,193,443,8,72,40,3,227,66
2,3  1899 Hoffenheim  Hoffenheim,34,70,47,226,578,11,58,67,0,358,66
3,4  Bayer Leverkusen  Leverkusen,34,69,52,206,502,9,59,50,1,272,64
4,5  RB Leipzig  RB Leipzig,34,63,40,180,482,3,60,61,1,354,87
5,6  VfL Wolfsburg  VfL Wolfsburg,34,62,38,170,413,10,49,62,0,264,67
6,7  Eintracht Frankfurt  Eintracht Fran.,34,60,42,155,398,10,50,58,1,319,84
7,8  Werder Bremen  Werder Bremen,34,58,37,179,461,9,48,61,0,328,41
8,9  Mönchengladbach  B. M'gladbach,34,55,41,163,445,5,48,43,0,253,70
9,10  FC Augsburg  FC Augsburg,34,51,32,166,435,9,41,55,1,341,86
10,11  Hertha BSC Berlin  Hertha Berlin,34,49,33,147,383,9,40,64,2,353,75
11,11  Fortuna Düsseldorf  Düsseldorf,34,49,36,169,412,8,40,67,1,320,48
12,13  SC Freiburg  SC Freiburg,34,46,25,165,410,10,34,54,0,305,53
13,13  FSV Mainz 05  FSV Mainz 05,34,46,33,154,482,5,39,56,0,306,83
14,15  FC Schalke 04  FC Schalke 04,34,37,21,129,394,3,33,72,4,328,77
15,16  VfB Stuttgart  VfB Stuttgart,36,34,26,123,404,9,23,66,3,318,65
16,17  Hannover 96  Hannover 96,34,31,20,127,376,8,22,62,1,316,57
17,18  1. FC Nürnberg  Nürnberg,34,26,15,106,341,5,20,58,3,316,53
