,Rank,Player,Club,Nationality,Stat
0,1.0,Alisson,Liverpool,Brazil,16
1,2.0,Ederson,Manchester City,Brazil,14
2,3.0,Kepa Arrizabalaga,Chelsea,Spain,11
3,4.0,Martin Dubravka,Newcastle United,Slovakia,9
4,4.0,Hugo Lloris,Tottenham Hotspur,France,9
5,6.0,David De Gea,Manchester United,Spain,7
6,6.0,Neil Etheridge,Cardiff City,Philippines,7
7,6.0,Ben Foster,Watford,England,7
8,6.0,Jordan Pickford,Everton,England,7
9,6.0,Kasper Schmeichel,Leicester City,Denmark,7
10,11.0,Rui Patrício,Wolverhampton Wanderers,Portugal,6
11,12.0,Asmir Begovic,AFC Bournemouth,Bosnia And Herzegovina,5
12,12.0,Wayne Hennessey,Crystal Palace,Wales,5
13,12.0,Mat Ryan,Brighton and Hove Albion,Australia,5
14,15.0,Lukasz Fabianski,West Ham United,Poland,4
15,15.0,Vicente Guaita,Crystal Palace,Spain,4
16,15.0,Joe Hart,Burnley,England,4
17,15.0,Jonas Lössl,Huddersfield Town,Denmark,4
18,15.0,Alex McCarthy,Southampton,England,4
19,20.0,Bernd Leno,Arsenal,Germany,3
