,Rank,Player,Club,Nationality,Stat
0,1.0,Nathan Aké,AFC Bournemouth,Netherlands,185
1,2.0,Ben Mee,Burnley,England,178
2,2.0,James Tarkowski,Burnley,England,178
3,4.0,Sol Bamba,Cardiff City,Cote D'Ivoire,175
4,4.0,Steve Cook,AFC Bournemouth,England,175
5,6.0,Shane Duffy,Brighton and Hove Albion,Ireland,173
6,7.0,James Tomkins,Crystal Palace,England,165
7,8.0,Jamaal Lascelles,Newcastle United,England,163
8,9.0,Craig Cathcart,Watford,Northern Ireland,149
9,10.0,Virgil van Dijk,Liverpool,Netherlands,146
10,11.0,Sean Morrison,Cardiff City,England,143
11,12.0,Jannik Vestergaard,Southampton,Denmark,141
12,13.0,Toby Alderweireld,Tottenham Hotspur,Belgium,140
13,14.0,Michael Keane,Everton,England,137
14,15.0,Denis Odoi,Fulham,Belgium,134
15,16.0,Mamadou Sakho,Crystal Palace,France,132
16,17.0,Lewis Dunk,Brighton and Hove Albion,England,131
17,18.0,Shkodran Mustafi,Arsenal,Germany,126
18,19.0,Willy Boly,Wolverhampton Wanderers,France,124
19,20.0,Fabián Balbuena,West Ham United,Paraguay,123
