,Rank,Club,Stat
0,1.0,Manchester City,233
1,2.0,Liverpool,204
2,3.0,Leicester City,177
3,4.0,Crystal Palace,175
4,5.0,AFC Bournemouth,166
5,6.0,Chelsea,165
6,7.0,Everton,162
7,8.0,Manchester United,162
8,9.0,Tottenham Hotspur,154
9,10.0,Arsenal,153
10,11.0,Newcastle United,152
11,12.0,West Ham United,152
12,13.0,Wolverhampton Wanderers,146
13,14.0,Southampton,142
14,15.0,Watford,138
15,16.0,Huddersfield Town,135
16,17.0,Cardiff City,134
17,18.0,Fulham,127
18,19.0,Brighton and Hove Albion,124
19,20.0,Burnley,119
