,Rank,Club,Stat
0,1.0,Huddersfield Town,665
1,2.0,Leicester City,654
2,3.0,Everton,651
3,4.0,Manchester City,611
4,5.0,Newcastle United,597
5,6.0,Liverpool,583
6,7.0,Burnley,581
7,8.0,Chelsea,539
8,9.0,Southampton,527
9,10.0,Manchester United,526
10,11.0,Tottenham Hotspur,526
11,12.0,West Ham United,517
12,13.0,AFC Bournemouth,497
13,14.0,Fulham,497
14,15.0,Brighton and Hove Albion,496
15,16.0,Crystal Palace,490
16,17.0,Wolverhampton Wanderers,481
17,18.0,Cardiff City,470
18,19.0,Arsenal,431
19,20.0,Watford,431
