,Rank,Player,Club,Nationality,Stat
0,1.0,Lucas Digne,Everton,France,202
1,1.0,Matt Ritchie,Newcastle United,Scotland,202
2,3.0,Ryan Fraser,AFC Bournemouth,Scotland,184
3,4.0,José Holebas,Watford,Greece,176
4,5.0,Kieran Trippier,Tottenham Hotspur,England,166
5,6.0,Ashley Young,Manchester United,England,159
6,7.0,James Maddison,Leicester City,England,146
7,8.0,Gylfi Sigurdsson,Everton,Iceland,141
8,8.0,Andros Townsend,Crystal Palace,England,141
9,10.0,João Moutinho,Wolverhampton Wanderers,Portugal,138
10,11.0,Willian,Chelsea,Brazil,135
11,11.0,Luka Milivojevic,Crystal Palace,Serbia,135
12,13.0,Robert Snodgrass,West Ham United,Scotland,128
13,14.0,Solly March,Brighton and Hove Albion,England,123
14,15.0,Trent Alexander-Arnold,Liverpool,England,118
15,16.0,James Milner,Liverpool,England,117
16,17.0,Pascal Groß,Brighton and Hove Albion,Germany,108
17,18.0,Chris Löwe,Huddersfield Town,Germany,105
18,18.0,Felipe Anderson,West Ham United,Brazil,105
19,20.0,Ben Chilwell,Leicester City,England,104
