,Rank,Player,Club,Nationality,Stat
0,1,Alan Shearer,-,England,260
1,2,Wayne Rooney,-,England,208
2,3,Andrew Cole,-,England,187
3,4,Frank Lampard,-,England,177
4,5,Thierry Henry,-,France,175
5,6,Robbie Fowler,-,England,163
6,7,Jermain Defoe,-,England,162
7,8,Sergio Agüero,Manchester City,Argentina,160
8,9,Michael Owen,-,England,150
9,10,Les Ferdinand,-,England,149
10,11,Teddy Sheringham,-,England,146
11,12,Robin van Persie,-,Netherlands,144
12,13,Jimmy Floyd Hasselbaink,-,Netherlands,127
13,14,Robbie Keane,-,Ireland,126
14,15,Nicolas Anelka,-,France,125
15,16,Harry Kane,Tottenham Hotspur,England,123
16,16,Dwight Yorke,-,Trinidad And Tobago,123
17,18,Steven Gerrard,-,England,120
18,19,Ian Wright,-,England,113
19,20,Dion Dublin,-,England,111
