,Rank,Player,Club,Nationality,Stat
0,1.0,Sol Bamba,Cardiff City,Cote D'Ivoire,3
1,1.0,Asmir Begovic,AFC Bournemouth,Bosnia And Herzegovina,3
2,1.0,Bernd Leno,Arsenal,Germany,3
3,1.0,Jordan Pickford,Everton,England,3
4,5.0,Cédric Soares,-,Portugal,2
5,5.0,Harry Arter,Cardiff City,Ireland,2
6,5.0,Charlie Daniels,AFC Bournemouth,England,2
7,5.0,Martin Dubravka,Newcastle United,Slovakia,2
8,5.0,Lewis Dunk,Brighton and Hove Albion,England,2
9,5.0,Bruno Ecuele Manga,Cardiff City,Gabon,2
10,5.0,Ben Hamer,Huddersfield Town,England,2
11,5.0,Alisson,Liverpool,Brazil,2
12,5.0,Sergio Rico,Fulham,Spain,2
13,5.0,Jean Michael Seri,Fulham,Cote D'Ivoire,2
14,5.0,Kieran Trippier,Tottenham Hotspur,England,2
15,5.0,Granit Xhaka,Arsenal,Switzerland,2
16,17.0,Fabri,Fulham,Spain,1
17,17.0,Leon Balogun,Brighton and Hove Albion,Nigeria,1
18,17.0,Ross Barkley,Chelsea,England,1
19,17.0,Yves Bissouma,Brighton and Hove Albion,Mali,1
