,Rank,Player,Club,Nationality,Stat
0,1.0,Glenn Murray,Brighton and Hove Albion,England,61
1,2.0,Luka Milivojevic,Crystal Palace,Serbia,47
2,3.0,James McArthur,Crystal Palace,Scotland,46
3,4.0,Aleksandar Mitrovic,Fulham,Serbia,44
4,4.0,Matt Ritchie,Newcastle United,Scotland,44
5,6.0,Alexandre Lacazette,Arsenal,France,42
6,6.0,João Moutinho,Wolverhampton Wanderers,Portugal,42
7,8.0,Callum Paterson,Cardiff City,Scotland,41
8,9.0,Jonathan Hogg,Huddersfield Town,England,39
9,10.0,Etienne Capoue,Watford,France,38
10,10.0,Idrissa Gueye,Everton,Senegal,38
11,12.0,Joshua King,AFC Bournemouth,Norway,37
12,12.0,Fernandinho,Manchester City,Brazil,37
13,14.0,Ashley Barnes,Burnley,Austria,36
14,14.0,Paul Pogba,Manchester United,France,36
15,14.0,André Gomes,Everton,Portugal,36
16,14.0,Granit Xhaka,Arsenal,Switzerland,36
17,14.0,DeAndre Yedlin,Newcastle United,United States,36
18,14.0,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,36
19,20.0,Sol Bamba,Cardiff City,Cote D'Ivoire,35
