,Rank,Player,Club,Nationality,Stat
0,1.0,Neil Etheridge,Cardiff City,Philippines,57
1,2.0,Alex McCarthy,Southampton,England,44
2,3.0,Asmir Begovic,AFC Bournemouth,Bosnia And Herzegovina,42
3,4.0,Lukasz Fabianski,West Ham United,Poland,41
4,4.0,Joe Hart,Burnley,England,41
5,6.0,Ben Foster,Watford,England,40
6,6.0,Jonas Lössl,Huddersfield Town,Denmark,40
7,8.0,Jordan Pickford,Everton,England,39
8,8.0,Kasper Schmeichel,Leicester City,Denmark,39
9,10.0,David De Gea,Manchester United,Spain,38
10,10.0,Sergio Rico,Fulham,Spain,38
11,12.0,Martin Dubravka,Newcastle United,Slovakia,36
12,12.0,Mat Ryan,Brighton and Hove Albion,Australia,36
13,14.0,Rui Patrício,Wolverhampton Wanderers,Portugal,35
14,15.0,Bernd Leno,Arsenal,Germany,30
15,16.0,Kepa Arrizabalaga,Chelsea,Spain,29
16,17.0,Wayne Hennessey,Crystal Palace,Wales,26
17,18.0,Hugo Lloris,Tottenham Hotspur,France,25
18,19.0,Marcus Bettinelli,-,England,20
19,19.0,Ederson,Manchester City,Brazil,20
