,Rank,Player,Club,Nationality,Stat
0,1.0,Martin Dubravka,Newcastle United,Slovakia,32
1,2.0,Ben Foster,Watford,England,29
2,3.0,Lukasz Fabianski,West Ham United,Poland,25
3,4.0,Asmir Begovic,AFC Bournemouth,Bosnia And Herzegovina,23
4,5.0,Jonas Lössl,Huddersfield Town,Denmark,20
5,6.0,Ederson,Manchester City,Brazil,16
6,7.0,Alex McCarthy,Southampton,England,15
7,8.0,Wayne Hennessey,Crystal Palace,Wales,14
8,8.0,Mat Ryan,Brighton and Hove Albion,Australia,14
9,10.0,Neil Etheridge,Cardiff City,Philippines,12
10,11.0,Hugo Lloris,Tottenham Hotspur,France,11
11,11.0,Jordan Pickford,Everton,England,11
12,13.0,Kepa Arrizabalaga,Chelsea,Spain,10
13,13.0,Rui Patrício,Wolverhampton Wanderers,Portugal,10
14,15.0,Alisson,Liverpool,Brazil,9
15,15.0,Kasper Schmeichel,Leicester City,Denmark,9
16,17.0,David De Gea,Manchester United,Spain,8
17,17.0,Bernd Leno,Arsenal,Germany,8
18,19.0,Vicente Guaita,Crystal Palace,Spain,7
19,20.0,Petr Cech,Arsenal,Czech Republic,6
