,Rank,Player,Club,Nationality,Stat
0,1.0,Sol Bamba,Cardiff City,Cote D'Ivoire,80
1,2.0,Etienne Capoue,Watford,France,70
2,3.0,Zanka,Huddersfield Town,Denmark,67
3,4.0,Bruno Ecuele Manga,Cardiff City,Gabon,62
4,5.0,Rúben Neves,Wolverhampton Wanderers,Portugal,59
5,5.0,Aaron Wan-Bissaka,Crystal Palace,England,59
6,7.0,Calum Chambers,Fulham,England,55
7,7.0,Jonathan Hogg,Huddersfield Town,England,55
8,7.0,Wilfred Ndidi,Leicester City,Nigeria,55
9,10.0,Willy Boly,Wolverhampton Wanderers,France,54
10,11.0,Philip Billing,Huddersfield Town,Denmark,52
11,11.0,Idrissa Gueye,Everton,Senegal,52
12,11.0,Luka Milivojevic,Crystal Palace,Serbia,52
13,14.0,Christopher Schindler,Huddersfield Town,Germany,50
14,15.0,Terence Kongolo,Huddersfield Town,Netherlands,49
15,16.0,Jonny,Wolverhampton Wanderers,Spain,48
16,16.0,Matt Doherty,Wolverhampton Wanderers,Ireland,48
17,18.0,Shkodran Mustafi,Arsenal,Germany,46
18,19.0,Ricardo Pereira,Leicester City,Portugal,45
19,19.0,Issa Diop,West Ham United,France,45
