,STANDARD,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
0,1  Barcelona  Barcelona,27,69,49,187,408,5,63,49,1,203,69
1,2  Real Madrid  Real Madrid,27,47,26,157,435,9,35,56,1,225,82
2,3  Sevilla  Sevilla,27,46,34,131,384,5,39,77,0,256,73
3,4  Atlético Madrid  Atlético Madrid,27,39,25,116,311,6,32,74,0,246,56
4,5  Levante  Levante,27,37,26,112,312,4,31,80,2,218,63
5,6  Celta Vigo  Celta Vigo,27,36,27,115,305,8,27,64,1,239,69
6,6  Getafe  Getafe,27,36,26,98,277,3,32,75,2,285,76
7,8  Eibar  Eibar,27,35,19,126,386,8,27,56,1,230,68
8,9  Espanyol  Espanyol,27,32,17,127,361,4,26,66,0,251,57
9,9  Real Sociedad  Real Sociedad,27,32,16,98,285,6,26,61,1,236,63
10,11  Betis  Betis,27,31,20,108,293,1,29,59,1,194,53
11,12  València  Valencia,27,30,22,125,361,5,25,65,1,213,49
12,13  Rayo Vallecano  Rayo Vallecano,27,29,14,115,305,2,26,71,2,294,46
13,13  Villarreal  Villarreal,27,29,18,117,339,6,21,78,0,258,65
14,13  Girona  Girona,27,29,17,111,279,8,21,58,1,254,40
15,16  Alavés  Alavés,27,28,21,91,300,11,17,67,1,239,43
16,17  Huesca  Huesca,27,27,20,116,315,4,23,88,0,272,65
17,17  Leganés  Leganes,27,27,18,105,295,8,19,80,2,252,50
18,19  Athletic  Athletic,27,26,17,100,279,2,23,88,3,295,61
19,20  Valladolid  Valladolid,27,21,14,90,290,4,16,58,0,236,67
