,STANDARD,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
0,1  Paris SG  Paris SG,27,83,52,170,428,7,74,45,2,201,69
1,2  Lyon  Lyon,28,47,31,182,452,6,41,40,1,220,69
2,3  Lille  Lille,28,45,29,143,353,4,40,51,2,213,31
3,4  Marseille  Marseille,28,44,31,133,379,12,31,57,4,235,32
4,5  Strasbourg  STR,28,43,34,120,292,11,31,51,3,242,31
5,6  Montpellier  Montpellier,28,38,19,123,344,8,28,45,2,259,45
6,6  Rennes  Rennes,27,38,23,115,349,5,31,43,1,202,43
7,6  Nimes  NIM,27,38,25,125,355,7,30,48,2,215,31
8,9  St. Etienne  St. Etienne,28,36,23,125,345,11,24,46,3,227,47
9,10  Angers  Angers,28,33,24,121,323,10,23,37,4,201,37
10,11  Nantes  Nantes,27,31,18,118,366,6,24,54,2,226,45
11,12  Reims  Reims,28,30,20,111,300,4,26,44,2,246,61
12,13  Monaco  Monaco,28,29,18,110,311,3,26,63,5,247,43
13,14  Bordeaux  Bordeaux,28,27,17,110,327,4,23,54,2,228,44
14,14  Toulouse  Toulouse,28,27,13,101,300,2,25,53,3,245,53
15,16  Amiens  AMN,28,24,15,89,286,6,17,40,2,250,50
16,17  Caen  Caen,28,23,13,81,254,5,18,58,2,258,37
17,18  Dijon  DIJ,28,21,13,109,321,1,20,54,2,275,45
18,19  Nice  Nice,28,20,12,94,303,1,18,53,4,191,30
19,20  Guingamp  Guingamp,28,18,14,83,275,7,11,41,5,217,42
