,Rank,Player,Club,Nationality,Stat
0,1.0,Chris Wood,Burnley,New Zealand,37
1,2.0,Aleksandar Mitrovic,Fulham,Serbia,29
2,3.0,Glenn Murray,Brighton and Hove Albion,England,27
3,4.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,24
4,5.0,Jamie Vardy,Leicester City,England,23
5,6.0,Sergio Agüero,Manchester City,Argentina,21
6,6.0,Mohamed Salah,Liverpool,Egypt,21
7,8.0,Romelu Lukaku,Manchester United,Belgium,20
8,8.0,Álvaro Morata,-,Spain,20
9,10.0,Pierre-Emerick Aubameyang,Arsenal,Gabon,19
10,10.0,Gerard Deulofeu,Watford,Spain,19
11,12.0,Sadio Mané,Liverpool,Senegal,18
12,12.0,Son Heung-Min,Tottenham Hotspur,South Korea,18
13,14.0,Alexandre Lacazette,Arsenal,France,17
14,15.0,Richarlison,Everton,Brazil,16
15,15.0,Leroy Sané,Manchester City,Germany,16
16,15.0,Theo Walcott,Everton,England,16
17,18.0,Callum Wilson,AFC Bournemouth,England,15
18,19.0,Marko Arnautovic,West Ham United,Austria,14
19,19.0,Ryan Sessegnon,Fulham,England,14
