,Rank,Player,Club,Nationality,Stat
0,1.0,Craig Cathcart,Watford,Northern Ireland,2
1,1.0,Conor Coady,Wolverhampton Wanderers,England,2
2,1.0,Wesley Hoedt,-,Netherlands,2
3,4.0,Phil Bardsley,Burnley,Scotland,1
4,4.0,Héctor Bellerín,Arsenal,Spain,1
5,4.0,Seamus Coleman,-,Ireland,1
6,4.0,Steve Cook,AFC Bournemouth,England,1
7,4.0,Lucas Digne,Everton,France,1
8,4.0,Issa Diop,West Ham United,France,1
9,4.0,Matt Doherty,Wolverhampton Wanderers,Ireland,1
10,4.0,Abdoulaye Doucouré,Watford,France,1
11,4.0,Timothy Fosu-Mensah,Fulham,Netherlands,1
12,4.0,Terence Kongolo,Huddersfield Town,Netherlands,1
13,4.0,Jefferson Lerma,AFC Bournemouth,Colombia,1
14,4.0,Victor Lindelöf,Manchester United,Sweden,1
15,4.0,Fernando Llorente,Tottenham Hotspur,Spain,1
16,4.0,Ben Mee,Burnley,England,1
17,4.0,Denis Odoi,Fulham,Belgium,1
18,4.0,Marcos Rojo,Manchester United,Argentina,1
19,4.0,Kieran Trippier,Tottenham Hotspur,England,1
