,Rank,Player,Club,Nationality,Stat
0,1.0,Jorginho,Chelsea,Italy,2330
1,2.0,Aymeric Laporte,Manchester City,France,2313
2,3.0,Virgil van Dijk,Liverpool,Netherlands,2258
3,4.0,Antonio Rüdiger,Chelsea,Germany,2083
4,5.0,David Luiz,Chelsea,Brazil,1993
5,6.0,Toby Alderweireld,Tottenham Hotspur,Belgium,1906
6,7.0,Fernandinho,Manchester City,Brazil,1884
7,8.0,César Azpilicueta,Chelsea,Spain,1873
8,9.0,Granit Xhaka,Arsenal,Switzerland,1856
9,10.0,Kyle Walker,Manchester City,England,1747
10,11.0,Andrew Robertson,Liverpool,Scotland,1734
11,12.0,Marcos Alonso,Chelsea,Spain,1615
12,13.0,N'Golo Kanté,Chelsea,France,1598
13,14.0,Paul Pogba,Manchester United,France,1580
14,15.0,Nemanja Matic,Manchester United,Serbia,1574
15,16.0,John Stones,Manchester City,England,1563
16,17.0,Luka Milivojevic,Crystal Palace,Serbia,1530
17,18.0,David Silva,Manchester City,Spain,1511
18,19.0,Jean Michael Seri,Fulham,Cote D'Ivoire,1463
19,20.0,Lucas Torreira,Arsenal,Uruguay,1417
