,Rank,Player,Club,Nationality,Stat
0,1.0,Leighton Baines,Everton,England,2
1,1.0,Sol Bamba,Cardiff City,Cote D'Ivoire,2
2,1.0,Ryan Bennett,Wolverhampton Wanderers,England,2
3,1.0,Gaëtan Bong,Brighton and Hove Albion,Cameroon,2
4,1.0,Bruno Ecuele Manga,Cardiff City,Gabon,2
5,1.0,Ben Foster,Watford,England,2
6,1.0,Juan Foyth,Tottenham Hotspur,Argentina,2
7,1.0,Christian Kabasele,Watford,Belgium,2
8,1.0,Sean Morrison,Cardiff City,England,2
9,1.0,Shkodran Mustafi,Arsenal,Germany,2
10,1.0,Mamadou Sakho,Crystal Palace,France,2
11,1.0,Ederson,Manchester City,Brazil,2
12,1.0,Jan Vertonghen,Tottenham Hotspur,Belgium,2
13,14.0,Nathan Aké,AFC Bournemouth,Netherlands,1
14,14.0,Daniel Amartey,Leicester City,Ghana,1
15,14.0,Stuart Armstrong,Southampton,Scotland,1
16,14.0,Marko Arnautovic,West Ham United,Austria,1
17,14.0,César Azpilicueta,Chelsea,Spain,1
18,14.0,Eric Bailly,Manchester United,Cote D'Ivoire,1
19,14.0,Fabián Balbuena,West Ham United,Paraguay,1
