,Rank,Player,Club,Nationality,Stat
0,1.0,Sergio Agüero,Manchester City,Argentina,6
1,1.0,Marcos Alonso,Chelsea,Spain,6
2,3.0,Willian,Chelsea,Brazil,5
3,4.0,Salomón Rondón,Newcastle United,Venezuela,4
4,5.0,Michail Antonio,West Ham United,England,3
5,5.0,Pierre-Emerick Aubameyang,Arsenal,Gabon,3
6,5.0,Philip Billing,Huddersfield Town,Denmark,3
7,5.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,3
8,5.0,Luka Milivojevic,Crystal Palace,Serbia,3
9,5.0,Aleksandar Mitrovic,Fulham,Serbia,3
10,5.0,Roberto Pereyra,Watford,Argentina,3
11,5.0,Nathan Redmond,Southampton,England,3
12,5.0,Leroy Sané,Manchester City,Germany,3
13,5.0,Gylfi Sigurdsson,Everton,Iceland,3
14,5.0,Raheem Sterling,Manchester City,England,3
15,5.0,Andros Townsend,Crystal Palace,England,3
16,5.0,Virgil van Dijk,Liverpool,Netherlands,3
17,18.0,Trent Alexander-Arnold,Liverpool,England,2
18,18.0,Harry Arter,Cardiff City,Ireland,2
19,18.0,Ryan Babel,Fulham,Netherlands,2
