,STANDARD,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
0,1  Manchester City  Man. City,30,79,56,206,530,10,65,37,1,183,85
1,2  Liverpool  Liverpool,30,68,37,187,450,11,55,32,0,182,59
2,3  Arsenal  Arsenal,30,63,46,143,373,4,55,51,1,218,71
3,4  Manchester United  Manchester Utd,30,58,35,189,417,3,55,60,2,227,68
4,5  Tottenham Hotspur  Tottenham,30,57,38,159,401,14,42,45,0,198,56
5,6  Chelsea  Chelsea,29,50,40,153,456,4,44,36,0,174,65
6,7  Watford  Watford,30,42,30,117,317,8,33,59,1,236,65
7,8  Everton  Everton,30,41,26,120,355,9,32,49,3,229,58
8,8  Bournemouth  Bournemouth,30,41,30,127,340,10,31,46,1,166,52
9,10  Leicester City  Leicester City,30,38,26,140,398,5,30,52,1,194,58
10,10  Wolverhampton  Wolves,30,38,29,131,374,7,31,60,1,224,57
11,12  West Ham United  West Ham,30,37,26,117,329,5,31,51,1,170,57
12,13  Crystal Palace  Crystal Palace,30,36,22,117,382,3,31,51,1,203,51
13,14  Southampton  Southampton,30,34,17,129,377,4,29,61,1,222,48
14,14  Burnley  Burnley,30,34,25,97,291,8,25,59,1,196,82
15,16  Brighton & Hove Albion  Brighton,29,32,21,99,292,8,24,51,2,240,71
16,17  Newcastle United  Newcastle,30,29,24,111,343,9,19,47,2,232,45
17,18  Fulham  Fulham,30,28,20,120,358,7,20,55,0,238,79
18,19  Cardiff City  Cardiff City,30,27,14,92,328,3,24,52,1,207,65
19,20  Huddersfield Town  Huddersfield,30,15,9,95,320,4,9,45,3,225,48
