,Rank,Player,Club,Nationality,Stat
0,1.0,Alex McCarthy,Southampton,England,17
1,2.0,Jonas Lössl,Huddersfield Town,Denmark,16
2,3.0,Lukasz Fabianski,West Ham United,Poland,15
3,4.0,Bernd Leno,Arsenal,Germany,14
4,5.0,Hugo Lloris,Tottenham Hotspur,France,13
5,5.0,Sergio Rico,Fulham,Spain,13
6,7.0,Alisson,Liverpool,Brazil,12
7,8.0,Wayne Hennessey,Crystal Palace,Wales,11
8,8.0,Kasper Schmeichel,Leicester City,Denmark,11
9,10.0,Martin Dubravka,Newcastle United,Slovakia,10
10,11.0,Marcus Bettinelli,-,England,8
11,11.0,David De Gea,Manchester United,Spain,8
12,11.0,Rui Patrício,Wolverhampton Wanderers,Portugal,8
13,11.0,Neil Etheridge,Cardiff City,Philippines,8
14,11.0,Ben Foster,Watford,England,8
15,16.0,Kepa Arrizabalaga,Chelsea,Spain,7
16,16.0,Jordan Pickford,Everton,England,7
17,18.0,Mat Ryan,Brighton and Hove Albion,Australia,6
18,18.0,Ederson,Manchester City,Brazil,6
19,20.0,Joe Hart,Burnley,England,5
