,Rank,Player,Club,Nationality,Stat
0,1.0,Pierre-Emile Højbjerg,Southampton,Denmark,2
1,1.0,Wes Morgan,Leicester City,Jamaica,2
2,3.0,Eric Bailly,Manchester United,Cote D'Ivoire,1
3,3.0,Willy Boly,Wolverhampton Wanderers,France,1
4,3.0,Robbie Brady,Burnley,Ireland,1
5,3.0,Etienne Capoue,Watford,France,1
6,3.0,Richarlison,Everton,Brazil,1
7,3.0,Fabian Delph,Manchester City,England,1
8,3.0,Lucas Digne,Everton,France,1
9,3.0,Shane Duffy,Brighton and Hove Albion,Ireland,1
10,3.0,Lewis Dunk,Brighton and Hove Albion,England,1
11,3.0,Isaac Hayden,Newcastle United,England,1
12,3.0,Jordan Henderson,Liverpool,England,1
13,3.0,Jonathan Hogg,Huddersfield Town,England,1
14,3.0,Phil Jagielka,Everton,England,1
15,3.0,Christian Kabasele,Watford,Belgium,1
16,3.0,James Maddison,Leicester City,England,1
17,3.0,Nemanja Matic,Manchester United,Serbia,1
18,3.0,Kevin McDonald,Fulham,Scotland,1
19,3.0,James Milner,Liverpool,England,1
