,Rank,Player,Club,Nationality,Stat
0,1.0,Lukasz Fabianski,West Ham United,Poland,111
1,2.0,Neil Etheridge,Cardiff City,Philippines,102
2,3.0,David De Gea,Manchester United,Spain,97
3,4.0,Ben Foster,Watford,England,91
4,5.0,Rui Patrício,Wolverhampton Wanderers,Portugal,81
5,6.0,Martin Dubravka,Newcastle United,Slovakia,80
6,7.0,Alex McCarthy,Southampton,England,78
7,8.0,Joe Hart,Burnley,England,77
8,9.0,Hugo Lloris,Tottenham Hotspur,France,76
9,10.0,Bernd Leno,Arsenal,Germany,73
10,10.0,Jonas Lössl,Huddersfield Town,Denmark,73
11,10.0,Jordan Pickford,Everton,England,73
12,13.0,Mat Ryan,Brighton and Hove Albion,Australia,70
13,14.0,Sergio Rico,Fulham,Spain,68
14,15.0,Kasper Schmeichel,Leicester City,Denmark,65
15,16.0,Alisson,Liverpool,Brazil,59
16,17.0,Asmir Begovic,AFC Bournemouth,Bosnia And Herzegovina,58
17,18.0,Kepa Arrizabalaga,Chelsea,Spain,55
18,19.0,Ederson,Manchester City,Brazil,47
19,20.0,Wayne Hennessey,Crystal Palace,Wales,44
