,STANDARD,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
0,1  Atalanta  Atalanta,38,77,58,224,622,14,61,61,2,315,72
1,2  Napoli  Napoli,38,74,55,244,700,7,66,71,3,296,86
2,3  Juventus  Juventus,38,70,41,200,591,14,52,75,2,362,76
3,4  Roma  Roma,38,66,42,227,615,7,59,87,0,356,50
4,5  Sampdoria  Sampdoria,38,60,39,183,483,5,55,90,0,348,70
5,6  Inter Milan  Inter Milan,38,57,39,205,619,12,45,73,1,337,66
6,7  Lazio  Lazio,38,56,34,199,605,5,49,89,3,384,99
7,8  AC Milan  AC Milan,38,55,34,204,576,6,45,80,3,368,64
8,9  Sassuolo  Sassuolo,38,53,34,166,507,7,43,86,4,384,73
9,10  Torino  Torino,38,52,29,180,502,8,42,88,3,463,74
10,11  Empoli  Empoli,38,51,34,160,444,5,43,73,2,328,77
11,12  Bologna  Bologna,38,48,34,170,495,12,33,89,3,403,86
12,13  Fiorentina  Fiorentina,38,47,24,187,576,6,39,89,3,430,50
13,14  SPAL  SPL,38,44,28,146,452,17,27,112,2,370,37
14,15  Parma  Parma,38,41,21,119,362,7,33,82,1,373,92
15,16  Udinese  Udinese,38,39,27,131,450,8,29,90,2,391,65
16,16  Genoa  Genoa,38,39,25,159,512,7,30,94,5,439,65
17,18  Cagliari  Cagliari,38,36,28,132,424,16,19,95,4,438,58
18,19  Frosinone  Frosinone,38,29,21,128,433,6,22,100,2,431,74
19,20  Chievo  Chievo,38,25,15,118,373,8,17,110,1,468,76
