,Rank,Player,Club,Nationality,Stat
0,1.0,Paul Pogba,Manchester United,France,45
1,1.0,Mohamed Salah,Liverpool,Egypt,45
2,3.0,Harry Kane,Tottenham Hotspur,England,41
3,4.0,Sergio Agüero,Manchester City,Argentina,35
4,4.0,Aleksandar Mitrovic,Fulham,Serbia,35
5,6.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,31
6,6.0,Sadio Mané,Liverpool,Senegal,31
7,6.0,Marcus Rashford,Manchester United,England,31
8,9.0,Pierre-Emerick Aubameyang,Arsenal,Gabon,30
9,9.0,Eden Hazard,Chelsea,Belgium,30
10,11.0,Roberto Firmino,Liverpool,Brazil,29
11,11.0,Raheem Sterling,Manchester City,England,29
12,13.0,Romelu Lukaku,Manchester United,Belgium,28
13,14.0,Jamie Vardy,Leicester City,England,26
14,15.0,Alexandre Lacazette,Arsenal,France,25
15,15.0,Gylfi Sigurdsson,Everton,Iceland,25
16,17.0,Ashley Barnes,Burnley,Austria,24
17,18.0,Marko Arnautovic,West Ham United,Austria,23
18,18.0,Troy Deeney,Watford,England,23
19,20.0,Steve Mounie,Huddersfield Town,Benin,22
