,Rank,Player,Club,Nationality,Stat
0,1.0,Aleksandar Mitrovic,Fulham,Serbia,96
1,2.0,Sergio Agüero,Manchester City,Argentina,92
2,2.0,Mohamed Salah,Liverpool,Egypt,92
3,4.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,88
4,5.0,Harry Kane,Tottenham Hotspur,England,85
5,5.0,Paul Pogba,Manchester United,France,85
6,7.0,Pierre-Emerick Aubameyang,Arsenal,Gabon,71
7,8.0,Eden Hazard,Chelsea,Belgium,67
8,9.0,Gylfi Sigurdsson,Everton,Iceland,65
9,10.0,Sadio Mané,Liverpool,Senegal,62
10,11.0,Marcus Rashford,Manchester United,England,61
11,12.0,Rúben Neves,Wolverhampton Wanderers,Portugal,60
12,13.0,Alexandre Lacazette,Arsenal,France,58
13,13.0,James Maddison,Leicester City,England,58
14,13.0,Salomón Rondón,Newcastle United,Venezuela,58
15,16.0,Roberto Firmino,Liverpool,Brazil,57
16,16.0,Son Heung-Min,Tottenham Hotspur,South Korea,57
17,16.0,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,57
18,19.0,Richarlison,Everton,Brazil,56
19,20.0,André Schürrle,Fulham,Germany,54
