,Rank,Player,Club,Nationality,Stat
0,1.0,Aaron Wan-Bissaka,Crystal Palace,England,103
1,2.0,Idrissa Gueye,Everton,Senegal,99
2,3.0,Ricardo Pereira,Leicester City,Portugal,96
3,4.0,Wilfred Ndidi,Leicester City,Nigeria,92
4,5.0,João Moutinho,Wolverhampton Wanderers,Portugal,90
5,6.0,Sol Bamba,Cardiff City,Cote D'Ivoire,74
6,7.0,César Azpilicueta,Chelsea,Spain,73
7,7.0,Philip Billing,Huddersfield Town,Denmark,73
8,7.0,Declan Rice,West Ham United,England,73
9,10.0,Mohamed Diamé,Newcastle United,Senegal,68
10,11.0,Luka Milivojevic,Crystal Palace,Serbia,67
11,11.0,Felipe Anderson,West Ham United,Brazil,67
12,11.0,Oriol Romeu,Southampton,Spain,67
13,14.0,Andrew Robertson,Liverpool,Scotland,66
14,15.0,Willy Boly,Wolverhampton Wanderers,France,64
15,16.0,Etienne Capoue,Watford,France,63
16,17.0,Jonny,Wolverhampton Wanderers,Spain,62
17,17.0,James McArthur,Crystal Palace,Scotland,62
18,19.0,Lucas Torreira,Arsenal,Uruguay,59
19,20.0,Marcos Alonso,Chelsea,Spain,57
