,Rank,Club,Stat
0,1.0,Burnley,2361
1,2.0,Newcastle United,2228
2,3.0,Huddersfield Town,2152
3,4.0,Wolverhampton Wanderers,2059
4,5.0,Brighton and Hove Albion,2029
5,6.0,Fulham,2008
6,7.0,Watford,1998
7,8.0,Cardiff City,1948
8,9.0,Leicester City,1946
9,10.0,West Ham United,1917
10,11.0,Southampton,1895
11,12.0,Everton,1892
12,13.0,Tottenham Hotspur,1857
13,14.0,Liverpool,1836
14,15.0,Manchester United,1830
15,16.0,Crystal Palace,1802
16,17.0,Arsenal,1678
17,18.0,AFC Bournemouth,1616
18,19.0,Chelsea,1434
19,20.0,Manchester City,1432
