,Rank,Club,Stat
0,1.0,Manchester City,21181
1,2.0,Chelsea,20666
2,3.0,Liverpool,19357
3,4.0,Tottenham Hotspur,16732
4,5.0,Arsenal,16196
5,6.0,Manchester United,15373
6,7.0,Fulham,14020
7,8.0,Leicester City,13453
8,9.0,Huddersfield Town,13375
9,10.0,West Ham United,13272
10,11.0,Everton,13269
11,12.0,Wolverhampton Wanderers,12860
12,13.0,AFC Bournemouth,12739
13,14.0,Crystal Palace,12353
14,15.0,Watford,11920
15,16.0,Southampton,11440
16,17.0,Newcastle United,11006
17,18.0,Burnley,10933
18,19.0,Brighton and Hove Albion,10812
19,20.0,Cardiff City,8239
