,Rank,Player,Club,Nationality,Stat
0,1.0,Jorginho,Chelsea,Italy,2618
1,2.0,Aymeric Laporte,Manchester City,France,2592
2,3.0,Virgil van Dijk,Liverpool,Netherlands,2570
3,4.0,César Azpilicueta,Chelsea,Spain,2560
4,5.0,Antonio Rüdiger,Chelsea,Germany,2339
5,6.0,Andrew Robertson,Liverpool,Scotland,2335
6,7.0,Marcos Alonso,Chelsea,Spain,2330
7,8.0,David Luiz,Chelsea,Brazil,2312
8,9.0,Granit Xhaka,Arsenal,Switzerland,2301
9,10.0,Fernandinho,Manchester City,Brazil,2239
10,11.0,Toby Alderweireld,Tottenham Hotspur,Belgium,2198
11,12.0,Kyle Walker,Manchester City,England,2165
12,13.0,Paul Pogba,Manchester United,France,2096
13,14.0,Luka Milivojevic,Crystal Palace,Serbia,2068
14,15.0,Ben Chilwell,Leicester City,England,2040
15,16.0,Kieran Trippier,Tottenham Hotspur,England,2009
16,17.0,N'Golo Kanté,Chelsea,France,2006
17,18.0,Felipe Anderson,West Ham United,Brazil,1969
18,19.0,Patrick van Aanholt,Crystal Palace,Netherlands,1954
19,20.0,Wilfred Ndidi,Leicester City,Nigeria,1949
