,Rank,Player,Club,Nationality,Stat
0,1.0,Ryan Bennett,Wolverhampton Wanderers,England,10
1,1.0,José Holebas,Watford,Greece,10
2,1.0,Jefferson Lerma,AFC Bournemouth,Colombia,10
3,4.0,Fabian Schär,Newcastle United,Switzerland,9
4,4.0,Luke Shaw,Manchester United,England,9
5,6.0,Phil Bardsley,Burnley,Scotland,8
6,6.0,Etienne Capoue,Watford,France,8
7,6.0,Ben Mee,Burnley,England,8
8,6.0,Luka Milivojevic,Crystal Palace,Serbia,8
9,6.0,Sokratis,Arsenal,Greece,8
10,6.0,Matt Ritchie,Newcastle United,Scotland,8
11,6.0,Robert Snodgrass,West Ham United,Scotland,8
12,6.0,Granit Xhaka,Arsenal,Switzerland,8
13,14.0,Harry Arter,Cardiff City,Ireland,7
14,14.0,Sol Bamba,Cardiff City,Cote D'Ivoire,7
15,14.0,Rúben Neves,Wolverhampton Wanderers,Portugal,7
16,14.0,Wilfred Ndidi,Leicester City,Nigeria,7
17,14.0,Diogo Jota,Wolverhampton Wanderers,Portugal,7
18,14.0,Ashley Young,Manchester United,England,7
19,14.0,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,7
